,Test Type,Vowel,Other Vowel,Correctness,File One,File Two
80,Words,oʊ,ʊ,True,recordings\Words_oʊ_loan.wav,recordings\Words_ʊ_took.wav
81,Words,æ,u,True,recordings\Words_æ_yak.wav,recordings\Words_u_boom.wav
82,Words,ɪ,eɪ,True,recordings\Words_ɪ_kick.wav,recordings\Words_eɪ_ray.wav
83,Words,i,N/A,True,recordings\Words_i_neat.wav,recordings\Words_i_sheep.wav
84,Words,ʌ,N/A,True,recordings\Words_ʌ_cup.wav,recordings\Words_ʌ_jug.wav
85,Words,æ,N/A,True,recordings\Words_æ_rack.wav,recordings\Words_æ_yak.wav
86,Words,oʊ,N/A,True,recordings\Words_oʊ_loan.wav,recordings\Words_oʊ_poke.wav
87,Words,ʌ,N/A,True,recordings\Words_ʌ_cup.wav,recordings\Words_ʌ_jug.wav
88,Words,eɪ,N/A,True,recordings\Words_eɪ_ray.wav,recordings\Words_eɪ_jail.wav
89,Words,ɛ,æ,True,recordings\Words_ɛ_bet.wav,recordings\Words_æ_yak.wav
90,Words,ɪ,N/A,True,recordings\Words_ɪ_tin.wav,recordings\Words_ɪ_kick.wav
91,Words,u,N/A,True,recordings\Words_u_room.wav,recordings\Words_u_boom.wav
92,Words,ɪ,N/A,True,recordings\Words_ɪ_kick.wav,recordings\Words_ɪ_tin.wav
93,Words,a,ʊ,True,recordings\Words_a_moss.wav,recordings\Words_ʊ_took.wav
94,Words,ɛ,N/A,True,recordings\Words_ɛ_fell.wav,recordings\Words_ɛ_bet.wav
95,Words,a,N/A,True,recordings\Words_a_job.wav,recordings\Words_a_moss.wav
96,Words,eɪ,N/A,True,recordings\Words_eɪ_ray.wav,recordings\Words_eɪ_jail.wav
97,Words,ɛ,N/A,True,recordings\Words_ɛ_fell.wav,recordings\Words_ɛ_bet.wav
98,Words,æ,ʌ,True,recordings\Words_æ_rack.wav,recordings\Words_ʌ_jug.wav
99,Words,eɪ,ʌ,True,recordings\Words_eɪ_jail.wav,recordings\Words_ʌ_cup.wav
