,File,F1,F2,F3
0,recordings\BareVowel_eɪ_1.wav,420.9627305216728,1990.0038361341433,2616.0786241166634
1,recordings\BareVowel_eɪ_2.wav,482.89224934482013,1916.9119263809362,2495.003712389134
2,recordings\DiffCons_eɪ_leɪzeɪ.wav,442.3801124027124,1784.0938316671095,2557.371887331328
3,recordings\DiffCons_eɪ_peɪmeɪ.wav,567.9766860297249,1814.4527382275246,2460.873348654052
4,recordings\SameCons_eɪ_1.wav,483.9918828140887,1950.212321534814,2633.03408937202
5,recordings\SameCons_eɪ_2.wav,470.95660147177324,1831.2130859284541,2608.4490686615777
6,recordings\Words_eɪ_jail.wav,429.50166126358505,1938.9240386360814,2457.8084285066543
7,recordings\Words_eɪ_ray.wav,464.8941892141963,1571.2873257307813,1802.909396706608
