,File,F1,F2,F3
0,recordings\BareVowel_ʊ_1.wav,446.7343679399145,1879.0378481508278,2618.4572329419193
1,recordings\BareVowel_ʊ_2.wav,449.0881412148415,1382.6826056131788,2827.117488285944
2,recordings\DiffCons_ʊ_tʃʊdʊ.wav,448.0933397402735,1814.9236521700343,2949.3674162831608
3,recordings\DiffCons_ʊ_zʊwʊ.wav,445.3425659263202,1335.4765423045728,2629.0039408543703
4,recordings\SameCons_ʊ_1.wav,459.77502038755347,1523.8420822093165,2751.5910670634066
5,recordings\SameCons_ʊ_2.wav,475.12555717415336,1551.8993718582653,2761.487720854396
6,recordings\Words_ʊ_put.wav,502.67760411417737,1163.445719517801,2377.337313679871
7,recordings\Words_ʊ_took.wav,530.83267760304,1253.0842038134301,2306.3916756600925
