,File,F1,F2,F3
0,recordings\BareVowel_oʊ_1.wav,512.3394638271034,1128.2806256259978,2406.5450915034185
1,recordings\BareVowel_oʊ_2.wav,555.64693071195,1353.7105210938112,2557.48171680564
2,recordings\DiffCons_oʊ_toʊðoʊ.wav,505.5359516089152,1177.860937582073,2267.0291972035548
3,recordings\DiffCons_oʊ_zoʊdoʊ.wav,495.59477654220655,1364.062287230847,2507.709231203261
4,recordings\SameCons_oʊ_1.wav,559.4092087292263,1306.2455100924012,2510.6146180345327
5,recordings\SameCons_oʊ_2.wav,589.1819662477847,1280.5525316000476,2775.6331727766337
6,recordings\Words_oʊ_loan.wav,519.8662916142063,994.6087455427298,2949.863284325182
7,recordings\Words_oʊ_poke.wav,530.0118526111947,1151.9804083550518,2249.3762051300487
