,File,F1,F2,F3
0,recordings\BareVowel_a_1.wav,799.3389496493415,1121.2376709120283,2835.682241512188
1,recordings\BareVowel_a_2.wav,792.1645631108397,1218.0518863292584,2837.8840186320367
2,recordings\DiffCons_a_faba.wav,654.1519018754299,1144.3551437391159,2408.6984769797905
3,recordings\DiffCons_a_raza.wav,635.4720798226411,1215.3000278414406,1837.2341164800266
4,recordings\SameCons_a_1.wav,798.3673130140884,1313.082532813179,2928.810007873338
5,recordings\SameCons_a_2.wav,672.7312683806324,1380.1791975315257,2980.874112468564
6,recordings\Words_a_job.wav,609.3565459519698,1372.4752139698783,2138.313398422616
7,recordings\Words_a_moss.wav,756.7727258587555,1019.0698936138284,3097.826606765938
