,File,F1,F2,F3
0,recordings\BareVowel_ʌ_1.wav,628.6438106996134,1335.6377723527655,2445.67221646731
1,recordings\BareVowel_ʌ_2.wav,618.9202311217606,1332.6223763006594,2353.2032155824722
2,recordings\DiffCons_ʌ_nʌkʌ.wav,550.9663842333566,1498.3014136921968,2355.8560702522573
3,recordings\DiffCons_ʌ_nʌpʌ.wav,575.382803743754,1400.3885020895648,2549.8631397257677
4,recordings\SameCons_ʌ_1.wav,599.3914747172151,1403.895562960644,2701.41943891424
5,recordings\SameCons_ʌ_2.wav,547.8526005331012,1459.9777968270064,2694.347732273232
6,recordings\Words_ʌ_cup.wav,648.8391959026372,1348.0774382016507,2385.181954321293
7,recordings\Words_ʌ_jug.wav,593.6149018315963,1548.1538061959088,2435.8737215721108
