,File,F1,F2,F3
0,recordings\BareVowel_æ_1.wav,701.1433649571326,1576.704636869664,2300.9103915269607
1,recordings\BareVowel_æ_2.wav,669.6388803448364,1589.8041934451364,2314.6673536749586
2,recordings\DiffCons_æ_mæθæ.wav,607.0184457395352,1473.4808974513023,2351.3744909618777
3,recordings\DiffCons_æ_wæpæ.wav,663.0256199312696,1249.9846731296427,2181.9025140463223
4,recordings\SameCons_æ_1.wav,595.6830256744487,1632.9607139000266,2596.085492350493
5,recordings\SameCons_æ_2.wav,612.4433912342336,1630.9055556920744,2461.9010646222127
6,recordings\Words_æ_rack.wav,629.1307445466452,1403.061220710193,1870.2941751039007
7,recordings\Words_æ_yak.wav,592.698554221057,1849.0830307670021,2573.2791453533623
