,File,F1,F2,F3
0,recordings\BareVowel_ɪ_1.wav,395.6137884584952,2091.8348561170656,2841.909017537055
1,recordings\BareVowel_ɪ_2.wav,443.77712427257984,1881.8375416547494,2672.7485221945003
2,recordings\DiffCons_ɪ_rɪkɪ.wav,449.23797449685566,1618.5676230712775,2243.7618519204766
3,recordings\DiffCons_ɪ_tʃɪðɪ.wav,404.352900648036,1816.2920366563055,2575.7289334726893
4,recordings\SameCons_ɪ_1.wav,428.36348320643367,1917.8872850502848,2651.6511748367043
5,recordings\SameCons_ɪ_2.wav,457.42383697515953,1893.6828118849323,2810.1386050193482
6,recordings\Words_ɪ_kick.wav,483.0333916303792,1836.6142078489038,2460.9284584396737
7,recordings\Words_ɪ_tin.wav,471.408237573632,1859.9023054917425,2620.249795105059
