,File,F1,F2,F3
0,recordings\BareVowel_ɛ_1.wav,582.3874485633602,1726.4825025960388,2259.1449436146613
1,recordings\BareVowel_ɛ_2.wav,578.7758232208406,1654.8307390142845,2289.6791249435632
2,recordings\DiffCons_ɛ_kɛkɛ.wav,527.6946989512192,1782.1762786518618,2566.5908557288913
3,recordings\DiffCons_ɛ_lɛfɛ.wav,563.9153909973971,1538.0171905705706,2605.8401158690067
4,recordings\SameCons_ɛ_1.wav,515.5724159041255,1775.775876905521,2718.3658074292753
5,recordings\SameCons_ɛ_2.wav,525.4080820220142,1749.7968367013445,2705.798190672291
6,recordings\Words_ɛ_bet.wav,576.3528143344613,1628.3859924577662,2415.239599736452
7,recordings\Words_ɛ_fell.wav,642.5132630637963,1465.4134858973716,2728.9416469796624
