,File,F1,F2,F3
0,recordings\BareVowel_u_1.wav,301.69170381972197,1028.4110031350474,2332.183847988596
1,recordings\BareVowel_u_2.wav,321.1227215287547,1020.0156296733121,2200.626323191488
2,recordings\DiffCons_u_tuwu.wav,340.24642297568107,1697.8773128698035,2074.878406214096
3,recordings\DiffCons_u_ʃunu.wav,320.2042914844262,1883.419661091377,2901.676178862281
4,recordings\SameCons_u_1.wav,362.4722160844648,1832.593643651784,2424.9087767766364
5,recordings\SameCons_u_2.wav,387.67358675772095,1837.8154052303173,2588.7278929536574
6,recordings\Words_u_boom.wav,371.0329084927226,1218.4974550309748,2369.6490388335933
7,recordings\Words_u_room.wav,363.6351129837989,1417.0435863303694,1705.8786275243847
