,File,F1,F2,F3
0,recordings\BareVowel_i_1.wav,258.1240186293448,2268.928045511264,3198.1249244001033
1,recordings\BareVowel_i_2.wav,270.89969682716,2261.9480978676206,3017.3732005034603
2,recordings\DiffCons_i_bizi.wav,273.9774870151134,2176.2898830586196,2850.2284024956925
3,recordings\DiffCons_i_diʒi.wav,263.81311861297223,2265.4535868177736,2832.75615460064
4,recordings\SameCons_i_1.wav,343.47964000253995,2295.39945773283,2946.484603667554
5,recordings\SameCons_i_2.wav,340.37000746815676,2291.1730603299084,3127.823924596007
6,recordings\Words_i_neat.wav,337.6703725615378,2276.986643974933,2983.364056625806
7,recordings\Words_i_sheep.wav,283.52333044055234,2208.375493139217,2951.8988426783685
